Date,Open,High,Low,Close,Volume,Adusted Close
1993-02-28,10.0,10.0,10.0,10.0,0.0,
1993-03-07,9.95,9.95,9.95,9.95,0.0,
1993-03-14,10.0,10.0,10.0,10.0,0.0,
1993-03-21,9.96,9.96,9.96,9.96,0.0,
1993-03-28,9.91,9.91,9.91,9.91,0.0,
1993-04-04,9.87,9.87,9.87,9.87,0.0,
1993-04-11,9.81,9.81,9.81,9.81,0.0,
1993-04-18,9.95,9.95,9.95,9.95,0.0,
1993-04-25,9.77,9.77,9.77,9.77,0.0,
1993-05-02,9.71,9.71,9.71,9.71,0.0,
1993-05-09,9.83,9.83,9.83,9.83,0.0,
1993-05-16,9.85,9.85,9.85,9.85,0.0,
1993-05-23,9.9,9.9,9.9,9.9,0.0,
1993-05-30,9.97,9.97,9.97,9.97,0.0,
1993-06-06,10.01,10.01,10.01,10.01,0.0,
1993-06-13,9.94,9.94,9.94,9.94,0.0,
1993-06-20,9.9,9.9,9.9,9.9,0.0,
1993-06-27,9.87,9.87,9.87,9.87,0.0,
1993-07-04,10.03,10.03,10.03,10.03,0.0,
1993-07-11,10.16,10.16,10.16,10.16,0.0,
1993-07-18,10.28,10.28,10.28,10.28,0.0,
1993-07-25,10.23,10.23,10.23,10.23,0.0,
1993-08-01,10.27,10.27,10.27,10.27,0.0,
1993-08-08,10.35,10.35,10.35,10.35,0.0,
1993-08-15,10.4,10.4,10.4,10.4,0.0,
1993-08-22,10.46,10.46,10.46,10.46,0.0,
1993-08-29,10.53,10.53,10.53,10.53,0.0,
1993-09-05,10.7,10.7,10.7,10.7,0.0,
1993-09-12,10.66,10.66,10.66,10.66,0.0,
1993-09-19,10.67,10.67,10.67,10.67,0.0,
1993-09-26,10.78,10.78,10.78,10.78,0.0,
1993-10-03,10.99,10.99,10.99,10.99,0.0,
1993-10-10,11.06,11.06,11.06,11.06,0.0,
1993-10-17,11.25,11.25,11.25,11.25,0.0,
1993-10-24,11.23,11.23,11.23,11.23,0.0,
1993-10-31,11.34,11.34,11.34,11.34,0.0,
1993-11-07,11.06,11.06,11.06,11.06,0.0,
1993-11-14,11.29,11.29,11.29,11.29,0.0,
1993-11-21,11.03,11.03,11.03,11.03,0.0,
1993-11-28,11.01,11.01,11.01,11.01,0.0,
1993-12-05,11.13,11.13,11.13,11.13,0.0,
1993-12-12,11.08,11.08,11.08,11.08,0.0,
1993-12-19,11.03,11.03,11.03,11.03,0.0,
1993-12-26,11.01,11.01,11.01,11.01,0.0,
1994-01-02,11.23,11.23,11.23,11.23,0.0,
1994-01-09,11.38,11.38,11.38,11.38,0.0,
1994-01-16,11.54,11.54,11.54,11.54,0.0,
1994-01-23,11.69,11.69,11.69,11.69,0.0,
1994-01-30,11.74,11.74,11.74,11.74,0.0,
1994-02-06,11.67,11.67,11.67,11.67,0.0,
1994-02-13,11.73,11.73,11.73,11.73,0.0,
1994-02-20,11.76,11.76,11.76,11.76,0.0,
1994-02-27,11.7,11.7,11.7,11.7,0.0,
1994-03-06,11.7,11.7,11.7,11.7,0.0,
1994-03-13,11.8,11.8,11.8,11.8,0.0,
1994-03-20,12.0,12.0,12.0,12.0,0.0,
1994-03-27,11.96,11.96,11.96,11.96,0.0,
1994-04-03,11.38,11.38,11.38,11.38,0.0,
1994-04-10,11.47,11.47,11.47,11.47,0.0,
1994-04-17,11.41,11.41,11.41,11.41,0.0,
1994-04-24,11.29,11.29,11.29,11.29,0.0,
1994-05-01,11.46,11.46,11.46,11.46,0.0,
1994-05-08,11.5,11.5,11.5,11.5,0.0,
1994-05-15,11.37,11.37,11.37,11.37,0.0,
1994-05-22,11.45,11.45,11.45,11.45,0.0,
1994-05-29,11.51,11.51,11.51,11.51,0.0,
1994-06-05,11.58,11.58,11.58,11.58,0.0,
1994-06-12,11.63,11.63,11.63,11.63,0.0,
1994-06-19,11.66,11.66,11.66,11.66,0.0,
1994-06-26,11.3,11.3,11.3,11.3,0.0,
1994-07-03,11.33,11.33,11.33,11.33,0.0,
1994-07-10,11.34,11.34,11.34,11.34,0.0,
1994-07-17,11.47,11.47,11.47,11.47,0.0,
1994-07-24,11.44,11.44,11.44,11.44,0.0,
1994-07-31,11.47,11.47,11.47,11.47,0.0,
1994-08-07,11.5,11.5,11.5,11.5,0.0,
1994-08-14,11.56,11.56,11.56,11.56,0.0,
1994-08-21,11.64,11.64,11.64,11.64,0.0,
1994-08-28,11.77,11.77,11.77,11.77,0.0,
1994-09-04,11.86,11.86,11.86,11.86,0.0,
1994-09-11,11.88,11.88,11.88,11.88,0.0,
1994-09-18,12.01,12.01,12.01,12.01,0.0,
1994-09-25,11.82,11.82,11.82,11.82,0.0,
1994-10-02,11.82,11.82,11.82,11.82,0.0,
1994-10-09,11.61,11.61,11.61,11.61,0.0,
1994-10-16,11.71,11.71,11.71,11.71,0.0,
1994-10-23,11.69,11.69,11.69,11.69,0.0,
1994-10-30,11.65,11.65,11.65,11.65,0.0,
1994-11-06,11.57,11.57,11.57,11.57,0.0,
1994-11-13,11.45,11.45,11.45,11.45,0.0,
1994-11-20,11.39,11.39,11.39,11.39,0.0,
1994-11-27,11.17,11.17,11.17,11.17,0.0,
1994-12-04,11.07,11.07,11.07,11.07,0.0,
1994-12-11,10.76,10.76,10.76,10.76,0.0,
1994-12-18,10.97,10.97,10.97,10.97,0.0,
1994-12-25,11.09,11.09,11.09,11.09,0.0,
1995-01-01,11.23,11.23,11.23,11.23,0.0,
1995-01-08,11.29,11.29,11.29,11.29,0.0,
1995-01-15,11.38,11.38,11.38,11.38,0.0,
1995-01-22,11.36,11.36,11.36,11.36,0.0,
1995-01-29,11.38,11.38,11.38,11.38,0.0,
1995-02-05,11.46,11.46,11.46,11.46,0.0,
1995-02-12,11.64,11.64,11.64,11.64,0.0,
1995-02-19,11.64,11.64,11.64,11.64,0.0,
1995-02-26,11.72,11.72,11.72,11.72,0.0,
1995-03-05,11.75,11.75,11.75,11.75,0.0,
1995-03-12,11.67,11.67,11.67,11.67,0.0,
1995-03-19,11.72,11.72,11.72,11.72,0.0,
1995-03-26,11.73,11.73,11.73,11.73,0.0,
1995-04-02,11.88,11.88,11.88,11.88,0.0,
1995-04-09,11.99,11.99,11.99,11.99,0.0,
1995-04-16,12.12,12.12,12.12,12.12,0.0,
1995-04-23,12.14,12.14,12.14,12.14,0.0,
1995-04-30,12.3,12.3,12.3,12.3,0.0,
1995-05-07,12.28,12.28,12.28,12.28,0.0,
1995-05-14,12.53,12.53,12.53,12.53,0.0,
1995-05-21,12.56,12.56,12.56,12.56,0.0,
1995-05-28,12.65,12.65,12.65,12.65,0.0,
1995-06-04,12.73,12.73,12.73,12.73,0.0,
1995-06-11,12.84,12.84,12.84,12.84,0.0,
1995-06-18,13.05,13.05,13.05,13.05,0.0,
1995-06-25,13.11,13.11,13.11,13.11,0.0,
1995-07-02,13.14,13.14,13.14,13.14,0.0,
1995-07-09,13.42,13.42,13.42,13.42,0.0,
1995-07-16,13.67,13.67,13.67,13.67,0.0,
1995-07-23,13.54,13.54,13.54,13.54,0.0,
1995-07-30,13.82,13.82,13.82,13.82,0.0,
1995-08-06,13.83,13.83,13.83,13.83,0.0,
1995-08-13,13.92,13.92,13.92,13.92,0.0,
1995-08-20,14.16,14.16,14.16,14.16,0.0,
1995-08-27,14.19,14.19,14.19,14.19,0.0,
1995-09-03,14.33,14.33,14.33,14.33,0.0,
1995-09-10,14.64,14.64,14.64,14.64,0.0,
1995-09-17,14.66,14.66,14.66,14.66,0.0,
1995-09-24,14.52,14.52,14.52,14.52,0.0,
1995-10-01,14.47,14.47,14.47,14.47,0.0,
1995-10-08,14.19,14.19,14.19,14.19,0.0,
1995-10-15,14.16,14.16,14.16,14.16,0.0,
1995-10-22,14.1,14.1,14.1,14.1,0.0,
1995-10-29,13.73,13.73,13.73,13.73,0.0,
1995-11-05,14.0,14.0,14.0,14.0,0.0,
1995-11-12,14.11,14.11,14.11,14.11,0.0,
1995-11-19,14.14,14.14,14.14,14.14,0.0,
1995-11-26,14.15,14.15,14.15,14.15,0.0,
1995-12-03,14.09,14.09,14.09,14.09,0.0,
1995-12-10,14.19,14.19,14.19,14.19,0.0,
1995-12-17,14.15,14.15,14.15,14.15,0.0,
1995-12-24,14.18,14.18,14.18,14.18,0.0,
1995-12-31,14.21,14.21,14.21,14.21,0.0,
1996-01-07,14.14,14.14,14.14,14.14,0.0,
1996-01-14,13.92,13.92,13.92,13.92,0.0,
1996-01-21,13.85,13.85,13.85,13.85,0.0,
1996-01-28,14.02,14.02,14.02,14.02,0.0,
1996-02-04,14.21,14.21,14.21,14.21,0.0,
1996-02-11,14.36,14.36,14.36,14.36,0.0,
1996-02-18,14.38,14.38,14.38,14.38,0.0,
1996-02-25,14.48,14.48,14.48,14.48,0.0,
1996-03-03,14.49,14.49,14.49,14.49,0.0,
1996-03-10,14.32,14.32,14.32,14.32,0.0,
1996-03-17,14.58,14.58,14.58,14.58,0.0,
1996-03-24,14.74,14.74,14.74,14.74,0.0,
1996-03-31,14.87,14.87,14.87,14.87,0.0,
1996-04-07,15.06,15.06,15.06,15.06,0.0,
1996-04-14,15.03,15.03,15.03,15.03,0.0,
1996-04-21,15.28,15.28,15.28,15.28,0.0,
1996-04-28,15.57,15.57,15.57,15.57,0.0,
1996-05-05,15.65,15.65,15.65,15.65,0.0,
1996-05-12,15.78,15.78,15.78,15.78,0.0,
1996-05-19,16.13,16.13,16.13,16.13,0.0,
1996-05-26,16.3,16.3,16.3,16.3,0.0,
1996-06-02,16.25,16.25,16.25,16.25,0.0,
1996-06-09,16.22,16.22,16.22,16.22,0.0,
1996-06-16,16.17,16.17,16.17,16.17,0.0,
1996-06-23,15.88,15.88,15.88,15.88,0.0,
1996-06-30,15.91,15.91,15.91,15.91,0.0,
1996-07-07,15.81,15.81,15.81,15.81,0.0,
1996-07-14,15.24,15.24,15.24,15.24,0.0,
1996-07-21,15.11,15.11,15.11,15.11,0.0,
1996-07-28,14.83,14.83,14.83,14.83,0.0,
1996-08-04,15.17,15.17,15.17,15.17,0.0,
1996-08-11,15.28,15.28,15.28,15.28,0.0,
1996-08-18,15.41,15.41,15.41,15.41,0.0,
1996-08-25,15.52,15.52,15.52,15.52,0.0,
1996-09-01,15.6,15.6,15.6,15.6,0.0,
1996-09-08,15.72,15.72,15.72,15.72,0.0,
1996-09-15,15.92,15.92,15.92,15.92,0.0,
1996-09-22,15.98,15.98,15.98,15.98,0.0,
1996-09-29,16.07,16.07,16.07,16.07,0.0,
1996-10-06,16.25,16.25,16.25,16.25,0.0,
1996-10-13,16.27,16.27,16.27,16.27,0.0,
1996-10-20,16.35,16.35,16.35,16.35,0.0,
1996-10-27,16.32,16.32,16.32,16.32,0.0,
1996-11-03,16.21,16.21,16.21,16.21,0.0,
1996-11-10,16.42,16.42,16.42,16.42,0.0,
1996-11-17,16.55,16.55,16.55,16.55,0.0,
1996-11-24,16.8,16.8,16.8,16.8,0.0,
1996-12-01,17.01,17.01,17.01,17.01,0.0,
1996-12-08,17.05,17.05,17.05,17.05,0.0,
1996-12-15,17.1,17.1,17.1,17.1,0.0,
1996-12-22,17.27,17.27,17.27,17.27,0.0,
1996-12-29,16.86,16.86,16.86,16.86,0.0,
1997-01-05,16.97,16.97,16.97,16.97,0.0,
1997-01-12,17.17,17.17,17.17,17.17,0.0,
1997-01-19,17.29,17.29,17.29,17.29,0.0,
1997-01-26,17.26,17.26,17.26,17.26,0.0,
1997-02-02,17.34,17.34,17.34,17.34,0.0,
1997-02-09,17.28,17.28,17.28,17.28,0.0,
1997-02-16,17.44,17.44,17.44,17.44,0.0,
1997-02-23,17.44,17.44,17.44,17.44,0.0,
1997-03-02,17.34,17.34,17.34,17.34,0.0,
1997-03-09,17.55,17.55,17.55,17.55,0.0,
1997-03-16,17.44,17.44,17.44,17.44,0.0,
1997-03-23,17.18,17.18,17.18,17.18,0.0,
1997-03-30,17.07,17.07,17.07,17.07,0.0,
1997-04-06,16.74,16.74,16.74,16.74,0.0,
1997-04-13,16.74,16.74,16.74,16.74,0.0,
1997-04-20,16.86,16.86,16.86,16.86,0.0,
1997-04-27,16.58,16.58,16.58,16.58,0.0,
1997-05-04,17.25,17.25,17.25,17.25,0.0,
1997-05-11,17.57,17.57,17.57,17.57,0.0,
1997-05-18,17.76,17.76,17.76,17.76,0.0,
1997-05-25,18.18,18.18,18.18,18.18,0.0,
1997-06-01,18.4,18.4,18.4,18.4,0.0,
1997-06-08,18.68,18.68,18.68,18.68,0.0,
1997-06-15,19.1,19.1,19.1,19.1,0.0,
1997-06-22,19.24,19.24,19.24,19.24,0.0,
1997-06-29,19.39,19.39,19.39,19.39,0.0,
1997-07-06,19.7,19.7,19.7,19.7,0.0,
1997-07-13,19.94,19.94,19.94,19.94,0.0,
1997-07-20,20.13,20.13,20.13,20.13,0.0,
1997-07-27,20.35,20.35,20.35,20.35,0.0,
1997-08-03,20.7,20.7,20.7,20.7,0.0,
1997-08-10,20.82,20.82,20.82,20.82,0.0,
1997-08-17,20.69,20.69,20.69,20.69,0.0,
1997-08-24,20.93,20.93,20.93,20.93,0.0,
1997-08-31,21.45,21.45,21.45,21.45,0.0,
1997-09-07,21.98,21.98,21.98,21.98,0.0,
1997-09-14,22.47,22.47,22.47,22.47,0.0,
1997-09-21,22.73,22.73,22.73,22.73,0.0,
1997-09-28,22.96,22.96,22.96,22.96,0.0,
1997-10-05,23.4,23.4,23.4,23.4,0.0,
1997-10-12,23.62,23.62,23.62,23.62,0.0,
1997-10-19,23.03,23.03,23.03,23.03,0.0,
1997-10-26,23.01,23.01,23.01,23.01,0.0,
1997-11-02,22.28,22.28,22.28,22.28,0.0,
1997-11-09,22.38,22.38,22.38,22.38,0.0,
1997-11-16,22.06,22.06,22.06,22.06,0.0,
1997-11-23,22.29,22.29,22.29,22.29,0.0,
1997-11-30,22.09,22.09,22.09,22.09,0.0,
1997-12-07,22.31,22.31,22.31,22.31,0.0,
1997-12-14,21.74,21.74,21.74,21.74,0.0,
1997-12-21,21.47,21.47,21.47,21.47,0.0,
1997-12-28,20.49,20.49,20.49,20.49,0.0,
1998-01-04,21.13,21.13,21.13,21.13,0.0,
1998-01-11,20.23,20.23,20.23,20.23,0.0,
1998-01-18,20.68,20.68,20.68,20.68,0.0,
1998-01-25,20.59,20.59,20.59,20.59,0.0,
1998-02-01,20.81,20.81,20.81,20.81,0.0,
1998-02-08,21.42,21.42,21.42,21.42,0.0,
1998-02-15,21.85,21.85,21.85,21.85,0.0,
1998-02-22,21.98,21.98,21.98,21.98,0.0,
1998-03-01,22.38,22.38,22.38,22.38,0.0,
1998-03-08,22.57,22.57,22.57,22.57,0.0,
1998-03-15,22.82,22.82,22.82,22.82,0.0,
1998-03-22,23.08,23.08,23.08,23.08,0.0,
1998-03-29,23.21,23.21,23.21,23.21,0.0,
1998-04-05,23.5,23.5,23.5,23.5,0.0,
1998-04-12,23.45,23.45,23.45,23.45,0.0,
1998-04-19,23.84,23.84,23.84,23.84,0.0,
1998-04-26,23.74,23.74,23.74,23.74,0.0,
1998-05-03,23.83,23.83,23.83,23.83,0.0,
1998-05-10,23.68,23.68,23.68,23.68,0.0,
1998-05-17,23.49,23.49,23.49,23.49,0.0,
1998-05-24,23.15,23.15,23.15,23.15,0.0,
1998-05-31,22.83,22.83,22.83,22.83,0.0,
1998-06-07,22.69,22.69,22.69,22.69,0.0,
1998-06-14,22.03,22.03,22.03,22.03,0.0,
1998-06-21,21.84,21.84,21.84,21.84,0.0,
1998-06-28,22.23,22.23,22.23,22.23,0.0,
1998-07-05,22.52,22.52,22.52,22.52,0.0,
1998-07-12,22.55,22.55,22.55,22.55,0.0,
1998-07-19,22.57,22.57,22.57,22.57,0.0,
1998-07-26,21.56,21.56,21.56,21.56,0.0,
1998-08-02,20.73,20.73,20.73,20.73,0.0,
1998-08-09,20.6,20.6,20.6,20.6,0.0,
1998-08-16,20.18,20.18,20.18,20.18,0.0,
1998-08-23,19.68,19.68,19.68,19.68,0.0,
1998-08-30,17.88,17.88,17.88,17.88,0.0,
1998-09-06,17.14,17.14,17.14,17.14,0.0,
1998-09-13,17.29,17.29,17.29,17.29,0.0,
1998-09-20,17.62,17.62,17.62,17.62,0.0,
1998-09-27,17.68,17.68,17.68,17.68,0.0,
1998-10-04,16.96,16.96,16.96,16.96,0.0,
1998-10-11,15.49,15.49,15.49,15.49,0.0,
1998-10-18,16.32,16.32,16.32,16.32,0.0,
1998-10-25,17.61,17.61,17.61,17.61,0.0,
1998-11-01,18.13,18.13,18.13,18.13,0.0,
1998-11-08,19.2,19.2,19.2,19.2,0.0,
1998-11-15,18.83,18.83,18.83,18.83,0.0,
1998-11-22,18.94,18.94,18.94,18.94,0.0,
1998-11-29,19.22,19.22,19.22,19.22,0.0,
1998-12-06,19.06,19.06,19.06,19.06,0.0,
1998-12-13,18.76,18.76,18.76,18.76,0.0,
1998-12-20,18.62,18.62,18.62,18.62,0.0,
1998-12-27,17.29,17.29,17.29,17.29,0.0,
1999-01-03,17.93,17.93,17.93,17.93,0.0,
1999-01-10,18.59,18.59,18.59,18.59,0.0,
1999-01-17,18.45,18.45,18.45,18.45,0.0,
1999-01-24,18.27,18.27,18.27,18.27,0.0,
1999-01-31,18.21,18.21,18.21,18.21,0.0,
1999-02-07,17.71,17.71,17.71,17.71,0.0,
1999-02-14,17.16,17.16,17.16,17.16,0.0,
1999-02-21,16.86,16.86,16.86,16.86,0.0,
1999-02-28,16.71,16.71,16.71,16.71,0.0,
1999-03-07,16.77,16.77,16.77,16.77,0.0,
1999-03-14,16.85,16.85,16.85,16.85,0.0,
1999-03-21,16.64,16.64,16.64,16.64,0.0,
1999-03-28,16.51,16.51,16.51,16.51,0.0,
1999-04-04,16.49,16.49,16.49,16.49,0.0,
1999-04-11,16.6,16.6,16.6,16.6,0.0,
1999-04-18,17.47,17.47,17.47,17.47,0.0,
1999-04-25,17.82,17.82,17.82,17.82,0.0,
1999-05-02,18.14,18.14,18.14,18.14,0.0,
1999-05-09,18.49,18.49,18.49,18.49,0.0,
1999-05-16,18.8,18.8,18.8,18.8,0.0,
1999-05-23,19.24,19.24,19.24,19.24,0.0,
1999-05-30,18.99,18.99,18.99,18.99,0.0,
1999-06-06,19.1,19.1,19.1,19.1,0.0,
1999-06-13,19.06,19.06,19.06,19.06,0.0,
1999-06-20,19.32,19.32,19.32,19.32,0.0,
1999-06-27,19.43,19.43,19.43,19.43,0.0,
1999-07-04,20.19,20.19,20.19,20.19,0.0,
1999-07-11,20.35,20.35,20.35,20.35,0.0,
1999-07-18,20.66,20.66,20.66,20.66,0.0,
1999-07-25,20.11,20.11,20.11,20.11,0.0,
1999-08-01,20.06,20.06,20.06,20.06,0.0,
1999-08-08,19.54,19.54,19.54,19.54,0.0,
1999-08-15,19.76,19.76,19.76,19.76,0.0,
1999-08-22,19.8,19.8,19.8,19.8,0.0,
1999-08-29,19.68,19.68,19.68,19.68,0.0,
1999-09-05,19.77,19.77,19.77,19.77,0.0,
1999-09-12,19.98,19.98,19.98,19.98,0.0,
1999-09-19,19.73,19.73,19.73,19.73,0.0,
1999-09-26,18.86,18.86,18.86,18.86,0.0,
1999-10-03,18.88,18.88,18.88,18.88,0.0,
1999-10-10,18.82,18.82,18.82,18.82,0.0,
1999-10-17,18.29,18.29,18.29,18.29,0.0,
1999-10-24,18.24,18.24,18.24,18.24,0.0,
1999-10-31,18.34,18.34,18.34,18.34,0.0,
1999-11-07,18.73,18.73,18.73,18.73,0.0,
1999-11-14,19.03,19.03,19.03,19.03,0.0,
1999-11-21,19.44,19.44,19.44,19.44,0.0,
1999-11-28,19.31,19.31,19.31,19.31,0.0,
1999-12-05,19.33,19.33,19.33,19.33,0.0,
1999-12-12,19.19,19.19,19.19,19.19,0.0,
1999-12-19,19.14,19.14,19.14,19.14,0.0,
1999-12-26,17.83,17.83,17.83,17.83,0.0,
2000-01-02,18.57,18.57,18.57,18.57,0.0,
2000-01-09,18.37,18.37,18.37,18.37,0.0,
2000-01-16,18.87,18.87,18.87,18.87,0.0,
2000-01-23,19.33,19.33,19.33,19.33,0.0,
2000-01-30,18.63,18.63,18.63,18.63,0.0,
2000-02-06,19.1,19.1,19.1,19.1,0.0,
2000-02-13,19.24,19.24,19.24,19.24,0.0,
2000-02-20,19.47,19.47,19.47,19.47,0.0,
2000-02-27,19.48,19.48,19.48,19.48,0.0,
2000-03-05,20.64,20.64,20.64,20.64,0.0,
2000-03-12,20.73,20.73,20.73,20.73,0.0,
2000-03-19,20.49,20.49,20.49,20.49,0.0,
2000-03-26,20.7,20.7,20.7,20.7,0.0,
2000-04-02,20.2,20.2,20.2,20.2,0.0,
2000-04-09,20.15,20.15,20.15,20.15,0.0,
2000-04-16,18.05,18.05,18.05,18.05,0.0,
2000-04-23,18.83,18.83,18.83,18.83,0.0,
2000-04-30,19.49,19.49,19.49,19.49,0.0,
